epoch,acc,loss,val_acc,val_loss
0,0.180416666667,13.1816573376,0.1275,9.13403457642
1,0.232638888889,6.8018303299,0.2275,4.79918678284
2,0.280138888889,3.84661056942,0.285,2.99046821594
3,0.307916666667,2.64971950213,0.32,2.28403458595
4,0.337083333333,2.26530292935,0.355,2.23500926018
5,0.35625,2.1294668844,0.36875,2.1598236084
6,0.375277777778,2.06857030127,0.40375,2.03960918903
7,0.399583333333,2.00034313043,0.36875,2.10506369591
8,0.4025,1.9588562123,0.4375,1.8888588047
9,0.419027777778,1.8973845858,0.38,2.0808297348
10,0.430694444444,1.86367132664,0.45125,1.84313284874
11,0.449305555556,1.79724978394,0.4275,1.90560519218
12,0.463888888889,1.75931885401,0.415,2.09488899708
13,0.467083333333,1.73943540997,0.4475,1.83570278168
14,0.483888888889,1.6801767132,0.45375,1.87461424351
15,0.493055555556,1.6571849272,0.49625,1.76083250523
16,0.511805555556,1.61053428756,0.44625,1.83068452835
17,0.517083333333,1.57311802758,0.46375,1.74914736271
18,0.528472222222,1.53840528011,0.4875,1.76480161667
19,0.541944444444,1.5218097247,0.4675,1.77050577164
